bucket_key,count
". . . 1 . . . . 2 .",54
". . . . . . 1 . . .",47
". . . . . 1 . . 2 .",40
". . . 1 . . 2 . . .",33
"1 . . . . . . . . .",32
"Y . . . . . 1 . . .",31
". . . 1 . . . . 2 B2",30
". . . . . . 1 . 2 B2",30
". . . Y . . . . 1 1",29
". . . . . 1 . . 2 B2",28
"Y . . 1 . . . . . .",26
". . . . . 1 2 . . .",25
"1 . . 2 . . . . . Y",24
". . . 1 . . . . . .",23
". . . . . 1 2 Y . .",23
". . . Y . . Y . . 1",23
"1 . . . . . . . 2 B2",22
"Y . . . . 1 . . . .",22
". . . . . . 1 . 2 Y",22
". Y . . . . 1 . . .",21
". . . 1 1 . . . 2 .",20
". . . 1 . 2 . . 3 .",20
". . . 1 1 . 2 . Y Y",20
". . . . . 1 . . 2 Y",20
". . . . . . 1 . 2 .",20
". . . . . . Y . 1 1",20
". Y . 1 . . 2 . . .",19
". . . . . . Y . . 1",19
". . . 1 1 . 2 . Y .",19
"Y . . . . Y . . . 1",19
". Y . . . 1 2 . . .",18
"Y . . . 1 . . . 2 .",18
". . . 1 . . 2 Y . .",18
"Y . . Y . . . . . 1",18
"1 . . . . . . . . 2",18
". . . 1 . 2 . . . .",17
"Y . . . . 1 . . 2 .",17
"1 . . . . . 2 . . .",17
". . . . . . 1 . . 2",17
". . . . . 1 . . . .",17
"1 . . . . 2 2 . . Y",17
"1 . . 2 . Y . . . Y",16
". . . . Y . 1 . 2 .",16
"Y 1 . 2 . . . . . .",16
"Y . . . . . Y . . 1",16
"1 . . . . 2 . . . .",15
"1 . . 2 . . . . . .",15
"Y . . . . . 1 . . 2",15
"Y . Y . . . 1 . . .",15
"1 . . 2 2 . 3 . Y Y",15
". . . Y . Y . . 1 1",15
". . . 1 . 2 . . 3 B3",15
". . . . . Y 1 . 2 .",15
"Y . . 1 . . . . 2 .",14
". . Y 1 . . 2 . . .",14
"Y . . . . 1 . . 2 Y",14
"1 . . . . . 2 . . Y",14
". . . 1 2 . . Y 3 .",14
". 1 . 2 . . 3 . . .",14
". . 1 . . . 2 . . .",14
"Y . . 1 . 2 . . 3 .",14
". 1 . . . . 2 . . .",14
". . . 1 . . 2 . Y .",14
". . . 1 . . . 2 3 .",13
". Y . 1 . . . . 2 .",13
"Y 1 . . . . 2 . . .",13
"1 1 . . . Y . . . .",13
"1 1 . . . . . . . .",13
". . . . 1 . 2 . . .",13
"1 1 . . . . . . . Y",13
". . . . 1 . 2 . 3 Y",13
"1 . . . . . . . . B2",12
"Y . . . . . . . 1 1",12
". . . Y 1 . . . 2 .",12
". . . . . . . . 1 B1",12
". . . Y . . . . Y 1",12
". . . . . 1 . 2 3 .",12
"Y . . 1 . . . . . B2",12
"1 . . . . 2 3 Y . .",12
"1 . 2 2 . . . . . .",12
"1 . . 2 . Y . . . .",12
". . . 1 1 Y 2 . Y .",12
". . . . . . 1 1 . .",12
". . . Y . 1 2 . . .",12
". . . . . Y 1 . 2 Y",12
". . . Y . Y . . . 1",12
"Y . . . . 1 . 2 . .",12
". . . 1 1 Y 2 . Y Y",12
". . . 1 . . . 2 2 .",12
"Y Y . . . . 1 . . .",11
". 1 1 . . . 2 . . .",11
"1 . 2 . . . . Y . .",11
". Y . 1 . 2 3 . . .",11
". . 1 1 . . . . Y B2",11
". . . 1 . . . 2 3 B3",11
"Y . 1 . . . 2 . . Y",11
"Y . . . . 1 . . . 2",11
"Y . 1 . . . 2 . . .",11
". . Y 1 . 2 3 . . .",11
"Y . . 1 . . . 2 . .",11
". . . Y . . Y . 1 1",11
"Y . . . . 1 . 2 3 .",11
". . . Y . . . . . 1",11
"Y . . Y . Y . . . 1",11
"1 . . 2 . . . Y . .",10
"1 1 . . . . Y . . .",10
"1 1 1 . . . 2 . . Y",10
"1 1 . . . . 2 . . Y",10
". . . Y 1 . 2 . . .",10
"1 1 1 . . . . . . .",10
"Y . . 1 . . . 2 3 .",10
". . . . . 1 1 . . .",10
". . 1 1 . . . . Y .",10
"Y . . 1 . 2 . . 3 Y",10
". Y . . . . Y . . 1",10
"Y . Y 1 . 2 . . . .",10
". . . 1 1 . 2 . . .",10
"Y . . . . Y 1 . 2 Y",9
". 1 . 2 . 3 . . 4 .",9
"1 . . . . 2 . . 3 B3",9
"Y . Y . . . . Y . 1",9
"Y . . . . . . 1 . .",9
"Y . . . . . 1 . . B2",9
"1 . . . . 2 3 . . Y",9
"1 . . . . . 2 Y . .",9
"Y . Y 1 . . . 2 . .",9
"1 2 . . . . Y . . Y",9
". . . . 1 . 2 . 3 B3",9
"Y 1 . . . . 2 . . Y",9
". Y . Y . 1 2 . . .",9
". 1 1 Y . . 2 . . .",9
"1 1 . . . . 2 . . .",9
"1 . . 2 . . 3 . . .",9
"Y . Y . . . Y . . 1",9
"1 . . . . . 2 . 3 B3",9
"Y . . 1 . 2 . . . .",9
". . . . . Y Y . . 1",9
"Y . . . . . . . . 1",9
". . . . . Y 1 2 . .",9
". . . 1 . 2 2 . . .",9
"Y . . . . . Y . . B1",9
". 1 . 2 . . Y . . .",9
"Y . Y 1 . . . 2 Y .",9
"Y . . Y . . . . 1 1",9
". . Y . . Y Y . . 1",9
". 1 . 2 . . . . . .",9
". Y . . . 1 . . 2 .",9
". 1 . . 2 . 3 . . .",9
". . . . 1 . 2 . 3 .",9
". . . 1 . 2 3 Y . .",9
"Y 1 . 2 . Y . . . Y",9
"Y . . . . Y 1 . . .",9
"1 . . Y . . . . 2 B2",9
". . . . 1 . Y . 2 2",8
". . . . . . Y 1 . .",8
". . 1 1 . . Y . . .",8
". . . 1 . 2 3 . . .",8
". Y . Y 1 . 2 . . .",8
"1 1 . Y . . . . . .",8
". . . . 1 . 2 . . 3",8
"Y . 1 2 . . . . . Y",8
"Y . . . 1 . 2 . . B3",8
"1 1 1 1 . . . . . .",8
"Y . . . . 1 . . . B2",8
". . . . 1 . . . 2 .",8
"Y Y . . 1 . 2 2 . .",8
". Y . . . 1 . . . .",8
"Y . Y 1 . . 2 Y . .",8
". . . 1 1 . . . 2 B2",8
". 1 1 1 . Y . . . .",8
". . . Y 1 2 . . 3 .",8
"Y . . . . Y 1 . . 2",8
". . . Y 1 . 2 . Y .",8
"Y . . . 1 . . . 2 Y",8
"Y . . . 1 . 2 . . .",8
"Y . . . 1 2 3 . . Y",8
"Y . . 1 . 2 3 Y . Y",8
"1 . . . . 2 3 . . .",8
"Y . . . Y . Y . . 1",8
". . 1 1 . . . . 2 .",8
"1 . 2 2 . . Y . . Y",8
". . 1 1 . Y . . . B2",8
"1 1 . . . . Y . . Y",8
"Y Y . . . . Y . . 1",8
"1 1 . 2 . . 3 . . .",8
". Y . . . 1 2 Y . .",8
"1 . . . 2 2 . Y 3 Y",8
"Y . . . . . 1 . 2 .",8
"1 . 2 2 . . . . Y .",8
". . Y 1 . 2 . . 3 .",8
"B1 . . . . . . . 2 B2",8
"Y . . . . Y . . . B1",8
"Y . Y 1 . . . . . .",8
