init_guess,trials_run,pct_solved,avg_steps,median_steps,max_steps,hardest_target,hardest_path_compact,worst_bucket_size_initial
secundario,10000,100.00,1.926,2,6,jato,secundario → . . . . . . 1 . . B2 (|S|=10000) | astrologia → 1 . 2 . 3 . . . . . (|S|=49) | fato → . 1 1 B1 (|S|=5) | mato → . 1 1 B1 (|S|=4) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),70
manuscrito,10000,100.00,1.907,2,6,dojo,manuscrito → . . . . . . . . . B1 (|S|=10000) | astrologia → . . . . 1 . 2 . . . (|S|=32) | vovo → . 1 . B2 (|S|=6) | bobo → . 1 . B2 (|S|=5) | fofo → . 1 . B2 (|S|=4) | dojo → B1 1 1 B1 (|S|=3) | dojo → B1 1 1 B1 (|S|=1),85
planetario,10000,100.00,1.972,2,6,fofo,planetario → . . . . . . . . . B1 (|S|=10000) | manuscrito → . . . . . . . . . B1 (|S|=43) | jogo → . 1 . B2 (|S|=8) | vovo → . 1 . B2 (|S|=4) | bobo → . 1 . B2 (|S|=3) | fofo → B1 1 1 B1 (|S|=2) | fofo → B1 1 1 B1 (|S|=1),55
estacionar,10000,100.00,1.966,2,7,fiji,estacionar → . . . . . 1 . . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=17) | xixi → . 1 . B2 (|S|=7) | mimi → . 1 . B2 (|S|=5) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),54
destruicao,10000,100.00,1.947,2,6,jarra,destruicao → . . . . Y . . . 1 . (|S|=10000) | contemplar → . . . . . . . . 1 1 (|S|=58) | trapaceiro → . 1 1 . Y . . . Y . (|S|=9) | barra → . 1 1 1 B1 (|S|=4) | garra → . 1 1 1 B1 (|S|=3) | jarra → B1 1 1 1 B1 (|S|=2) | jarra → B1 1 1 1 B1 (|S|=1),58
tolerancia,10000,100.00,1.942,2,6,boato,tolerancia → 1 1 . . . Y . . . . (|S|=10000) | argumentos → 1 . . . . . . 2 2 . (|S|=21) | fato → . 1 1 B1 (|S|=5) | pato → . 1 1 B1 (|S|=4) | jato → . 1 1 B1 (|S|=3) | boato → B1 1 1 1 B1 (|S|=2) | boato → B1 1 1 1 B1 (|S|=1),53
construida,10000,100.00,1.925,2,6,fofo,construida → . 1 . . . . . . . . (|S|=10000) | espartilho → . . . . . . . . . B1 (|S|=54) | jogo → . 1 . B2 (|S|=8) | vovo → . 1 . B2 (|S|=4) | bobo → . 1 . B2 (|S|=3) | fofo → B1 1 1 B1 (|S|=2) | fofo → B1 1 1 B1 (|S|=1),72
calendario,10000,100.00,1.952,2,6,hara,calendario → . Y . . . . 1 1 . . (|S|=10000) | trapaceiro → . 1 1 . Y . . . . . (|S|=31) | sara → . 1 1 B1 (|S|=5) | vara → . 1 1 B1 (|S|=4) | mara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),50
sacramento,10000,100.00,1.969,2,6,hara,sacramento → . 1 . 2 2 . . . . . (|S|=10000) | espingarda → . . . . . . 1 1 . B2 (|S|=27) | barra → . 1 . 2 B2 (|S|=7) | vara → . 1 1 B1 (|S|=4) | lara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),59
monasterio,10000,100.00,1.962,2,6,jarra,monasterio → . . . 1 . . . 2 . . (|S|=10000) | aconselhar → Y . . . . . . . 1 1 (|S|=92) | escravidao → . . . 1 1 . . . Y . (|S|=13) | barra → . 1 1 1 B1 (|S|=5) | garra → . 1 1 1 B1 (|S|=3) | jarra → B1 1 1 1 B1 (|S|=2) | jarra → B1 1 1 1 B1 (|S|=1),92
solteirona,10000,100.00,1.976,2,6,pera,solteirona → . . . . 1 . 2 . . B3 (|S|=10000) | curandeiro → . . 1 1 . . Y . . . (|S|=29) | vera → . 1 1 B1 (|S|=6) | fera → . 1 1 B1 (|S|=4) | hera → . 1 1 B1 (|S|=3) | pera → B1 1 1 B1 (|S|=2) | pera → B1 1 1 B1 (|S|=1),53
contemplar,10000,100.00,1.935,2,6,quale,contemplar → . . . . Y . . Y 1 . (|S|=10000) | alessandro → 1 1 1 . . . . . . . (|S|=35) | vale → . 1 1 B1 (|S|=5) | bale → . 1 1 B1 (|S|=4) | gale → . 1 1 B1 (|S|=3) | quale → B1 1 1 1 B1 (|S|=2) | quale → B1 1 1 1 B1 (|S|=1),64
relutancia,10000,100.00,1.923,2,5,livrar,relutancia → Y . 1 . . 2 . . Y . (|S|=10000) | ligar → B1 1 . 2 B2 (|S|=6) | lidar → B1 1 . 2 B2 (|S|=4) | limpar → B1 1 . . 2 B2 (|S|=3) | livrar → B1 1 1 1 1 B1 (|S|=2) | livrar → B1 1 1 1 1 B1 (|S|=1),69
comentario,10000,100.00,1.966,2,6,sova,comentario → . 1 . . . . 2 . . . (|S|=10000) | balconista → . . . . Y . . 1 . B2 (|S|=28) | sofa → B1 1 . B2 (|S|=5) | sopa → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),87
considerar,10000,100.00,2.000,2,6,jato,considerar → . Y . . . . . . 1 . (|S|=10000) | tripulacao → Y . . . . . 1 . . B2 (|S|=67) | fato → . 1 1 B1 (|S|=6) | gato → . 1 1 B1 (|S|=4) | mato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),86
selecionar,10000,100.00,1.981,2,6,sova,selecionar → B1 . . . . . 2 . 3 . (|S|=10000) | sofa → B1 1 . B2 (|S|=8) | sopa → B1 1 . B2 (|S|=6) | soma → B1 1 . B2 (|S|=5) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),49
documentar,10000,100.00,1.941,2,5,vila,documentar → . . . . . . . . 1 . (|S|=10000) | astrologia → . . . . . Y . . 1 B2 (|S|=83) | ilha → 1 1 . B2 (|S|=5) | fila → . 1 1 B1 (|S|=3) | vila → B1 1 1 B1 (|S|=2) | vila → B1 1 1 B1 (|S|=1),83
espartilho,10000,100.00,1.968,2,6,sova,espartilho → . 1 . 2 . . . . . Y (|S|=10000) | sofa → B1 1 . B2 (|S|=7) | sonda → B1 1 . . B2 (|S|=6) | soma → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),88
curandeiro,10000,100.00,1.996,2,6,jato,curandeiro → . . . 1 . . . . . B2 (|S|=10000) | astrologia → 1 . 2 . 3 . . . . . (|S|=75) | fato → . 1 1 B1 (|S|=5) | mato → . 1 1 B1 (|S|=4) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),75
astronomia,10000,100.00,1.997,2,6,fiji,astronomia → . . . . . . . . 1 . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=61) | xixi → . 1 . B2 (|S|=6) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),61
integracao,10000,100.00,2.020,2,6,pino,integracao → 1 1 . . . . . . . B2 (|S|=10000) | cerimonial → . . . 1 . 2 Y . . . (|S|=26) | vinho → . 1 1 . B2 (|S|=7) | sino → . 1 1 B1 (|S|=4) | fino → . 1 1 B1 (|S|=3) | pino → B1 1 1 B1 (|S|=2) | pino → B1 1 1 B1 (|S|=1),60
libertacao,10000,100.00,1.984,2,6,fiji,libertacao → . 1 . . . . . . . . (|S|=10000) | argumentos → . . . . . . . . . . (|S|=25) | xixi → . 1 . B2 (|S|=8) | didi → . 1 . B2 (|S|=5) | pipi → . 1 . B2 (|S|=4) | fiji → B1 1 1 B1 (|S|=3) | fiji → B1 1 1 B1 (|S|=1),74
ventriculo,10000,100.00,1.944,2,6,apelo,ventriculo → . 1 . . . . . . 2 B2 (|S|=10000) | belo → . 1 1 B1 (|S|=8) | gelo → . 1 1 B1 (|S|=6) | modelo → . . . 1 1 B1 (|S|=5) | selo → . 1 1 B1 (|S|=3) | apelo → B1 1 1 1 B1 (|S|=2) | apelo → B1 1 1 1 B1 (|S|=1),80
orientacao,10000,100.00,2.069,2,7,sova,orientacao → 1 . . . . . 2 . . . (|S|=10000) | balconista → . . . . Y . . 1 . B2 (|S|=27) | sofa → B1 1 . B2 (|S|=6) | sopa → B1 1 . B2 (|S|=5) | soma → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),95
relacionar,10000,100.00,2.011,2,6,captar,relacionar → . . . 1 Y . . . 2 B2 (|S|=10000) | chamar → B1 . 2 . 3 B3 (|S|=7) | casar → B1 1 . 2 B2 (|S|=6) | cavar → B1 1 . 2 B2 (|S|=4) | cagar → B1 1 . 2 B2 (|S|=3) | captar → B1 1 1 1 1 B1 (|S|=2) | captar → B1 1 1 1 1 B1 (|S|=1),69
destruirao,10000,100.00,1.990,2,7,tala,destruirao → . . . 1 . . . . 2 . (|S|=10000) | taxa → B1 1 . B2 (|S|=7) | tava → B1 1 . B2 (|S|=6) | taca → B1 1 . B2 (|S|=5) | tampa → B1 1 . . B2 (|S|=4) | tanga → B1 1 . . B2 (|S|=3) | tala → B1 1 1 B1 (|S|=2) | tala → B1 1 1 B1 (|S|=1),91
secretario,10000,100.00,2.042,2,6,pila,secretario → . . . . . . Y . 1 . (|S|=10000) | relutancia → . . Y . . . . . 1 B2 (|S|=73) | ilha → 1 1 . B2 (|S|=7) | fila → . 1 1 B1 (|S|=4) | vila → . 1 1 B1 (|S|=3) | pila → B1 1 1 B1 (|S|=2) | pila → B1 1 1 B1 (|S|=1),116
retaliacao,10000,100.00,2.042,2,6,hara,retaliacao → Y . . 1 . . 2 . . . (|S|=10000) | espingarda → . . . . . . 1 1 . B2 (|S|=60) | mercenario → . . . . . . 1 1 . . (|S|=10) | barba → . 1 1 . B2 (|S|=4) | vara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),68
inesperado,10000,100.00,1.972,2,6,homo,inesperado → . . . . . . . . . B1 (|S|=10000) | ventriculo → . . . . . . . . . B1 (|S|=57) | jogo → . 1 . B2 (|S|=8) | bobo → . 1 . B2 (|S|=4) | fofo → . 1 . B2 (|S|=3) | homo → B1 1 1 B1 (|S|=2) | homo → B1 1 1 B1 (|S|=1),98
paramedico,10000,100.00,1.977,2,6,nojo,paramedico → . . . . . . . . . B1 (|S|=10000) | astrologia → . . . . 1 . 2 . . . (|S|=55) | vovo → . 1 . B2 (|S|=5) | bobo → . 1 . B2 (|S|=4) | fofo → . 1 . B2 (|S|=3) | nojo → B1 1 1 B1 (|S|=2) | nojo → B1 1 1 B1 (|S|=1),74
manobrista,10000,100.00,1.982,2,6,fiji,manobrista → . . . . . . 1 . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=56) | xixi → . 1 . B2 (|S|=6) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),75
argumentos,10000,100.00,1.958,2,6,fiji,argumentos → . . . . . . . . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=14) | xixi → . 1 . B2 (|S|=6) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),82
cerimonial,10000,100.00,1.996,2,6,cassete,cerimonial → B1 2 . . . . . . Y . (|S|=10000) | cafe → B1 1 . B2 (|S|=8) | cabe → B1 1 . B2 (|S|=5) | cave → B1 1 . B2 (|S|=4) | capacete → B1 1 . . . 2 2 B2 (|S|=3) | cassete → B1 1 1 1 1 1 B1 (|S|=2) | cassete → B1 1 1 1 1 1 B1 (|S|=1),93
