secret,success,attempts,policy,use_hints
botas,True,4,RAND,True
ozueu,True,4,RAND,True
peane,True,2,RAND,True
aruaú,True,6,RAND,True
áudio,True,4,RAND,True
fixez,True,5,RAND,True
nunes,True,6,RAND,True
cocal,True,8,RAND,True
sexos,True,5,RAND,True
moogo,True,6,RAND,True
bígua,True,4,RAND,True
mulme,True,3,RAND,True
zâmia,True,8,RAND,True
bloco,True,6,RAND,True
ábaco,True,5,RAND,True
torna,True,4,RAND,True
menas,True,4,RAND,True
ganzé,True,6,RAND,True
jimbó,True,5,RAND,True
fraco,True,4,RAND,True
miolo,True,5,RAND,True
oniro,True,4,RAND,True
fereu,True,7,RAND,True
harda,True,5,RAND,True
unedo,True,5,RAND,True
menim,True,5,RAND,True
mulgu,True,2,RAND,True
irocó,True,3,RAND,True
musas,True,5,RAND,True
feixe,True,5,RAND,True
juina,True,3,RAND,True
cobió,True,5,RAND,True
lária,True,3,RAND,True
pituá,True,5,RAND,True
fugar,True,8,RAND,True
diogo,True,4,RAND,True
noéis,True,5,RAND,True
bufir,True,6,RAND,True
butua,True,5,RAND,True
cotar,True,5,RAND,True
jequi,True,4,RAND,True
misgo,True,4,RAND,True
acmão,True,4,RAND,True
arara,True,6,RAND,True
cucri,True,5,RAND,True
togói,True,4,RAND,True
iaúvo,True,3,RAND,True
diate,True,5,RAND,True
quimi,True,4,RAND,True
gosto,True,3,RAND,True
molge,True,3,RAND,True
acibe,True,4,RAND,True
gambo,True,5,RAND,True
congo,True,3,RAND,True
cunco,True,3,RAND,True
díodo,True,4,RAND,True
chauã,True,5,RAND,True
combi,True,5,RAND,True
iobar,True,3,RAND,True
grama,True,5,RAND,True
dugni,True,3,RAND,True
aônio,True,6,RAND,True
nagui,True,6,RAND,True
sócio,True,4,RAND,True
corla,True,7,RAND,True
adaca,True,5,RAND,True
lusco,True,7,RAND,True
armur,True,4,RAND,True
murre,True,5,RAND,True
fibra,True,6,RAND,True
gnomo,True,5,RAND,True
tecno,True,3,RAND,True
êmulo,True,6,RAND,True
corte,True,5,RAND,True
tiple,True,5,RAND,True
maião,True,10,RAND,True
rotim,True,6,RAND,True
iódis,True,6,RAND,True
jejes,True,6,RAND,True
melca,True,4,RAND,True
mondé,True,7,RAND,True
taúva,True,6,RAND,True
murle,True,7,RAND,True
oitis,True,3,RAND,True
guiné,True,4,RAND,True
calos,True,6,RAND,True
morro,True,5,RAND,True
tílea,True,5,RAND,True
uveal,True,5,RAND,True
hetol,True,4,RAND,True
sunfa,True,6,RAND,True
isele,True,4,RAND,True
pseca,True,6,RAND,True
tília,True,4,RAND,True
paúra,True,4,RAND,True
suaro,True,2,RAND,True
árgio,True,4,RAND,True
sapim,True,4,RAND,True
abatu,True,5,RAND,True
banté,True,4,RAND,True
meiri,True,5,RAND,True
lorga,True,4,RAND,True
pantó,True,8,RAND,True
iiabá,True,6,RAND,True
bicho,True,5,RAND,True
odico,True,6,RAND,True
biblá,True,3,RAND,True
auiti,True,4,RAND,True
cloto,True,5,RAND,True
geral,True,5,RAND,True
auaçu,True,4,RAND,True
nogão,True,4,RAND,True
otins,True,4,RAND,True
catas,True,5,RAND,True
levar,True,4,RAND,True
piriz,True,4,RAND,True
bacês,True,6,RAND,True
crega,True,5,RAND,True
tiple,True,4,RAND,True
deado,True,7,RAND,True
palos,True,5,RAND,True
cucal,True,6,RAND,True
telso,True,6,RAND,True
hipte,True,3,RAND,True
mandi,True,7,RAND,True
senda,True,6,RAND,True
tembé,True,4,RAND,True
brete,True,4,RAND,True
riola,True,6,RAND,True
baelé,True,3,RAND,True
facto,True,5,RAND,True
gomor,True,6,RAND,True
lurar,True,8,RAND,True
sícon,True,2,RAND,True
derre,True,5,RAND,True
setos,True,2,RAND,True
macua,True,6,RAND,True
guizo,True,5,RAND,True
visco,True,4,RAND,True
mocuí,True,4,RAND,True
tipos,True,5,RAND,True
ábaco,True,6,RAND,True
aruto,True,3,RAND,True
sigma,True,5,RAND,True
fiofó,True,5,RAND,True
tafal,True,7,RAND,True
ibêji,True,4,RAND,True
churi,True,4,RAND,True
amido,True,3,RAND,True
mugué,True,6,RAND,True
frade,True,6,RAND,True
sacar,True,8,RAND,True
ácaro,True,3,RAND,True
fibro,True,4,RAND,True
chaga,True,4,RAND,True
peumo,True,6,RAND,True
cruga,True,5,RAND,True
blasé,True,4,RAND,True
caubi,True,4,RAND,True
teuto,True,6,RAND,True
máfia,True,7,RAND,True
murça,True,6,RAND,True
agama,True,3,RAND,True
vídia,True,6,RAND,True
moeca,True,5,RAND,True
ságio,True,6,RAND,True
fruro,True,5,RAND,True
vagir,True,3,RAND,True
badio,True,3,RAND,True
lomba,True,7,RAND,True
tolaz,True,4,RAND,True
sacuê,True,4,RAND,True
zíper,True,5,RAND,True
hecto,True,4,RAND,True
bioco,True,4,RAND,True
ganja,True,5,RAND,True
dimal,True,4,RAND,True
tibel,True,5,RAND,True
mamum,True,3,RAND,True
néper,True,5,RAND,True
altor,True,4,RAND,True
mondé,True,5,RAND,True
chico,True,5,RAND,True
cenda,True,5,RAND,True
pinho,True,5,RAND,True
morte,True,6,RAND,True
igala,True,2,RAND,True
durez,True,6,RAND,True
